Country,Total,Year
Total,11698434,2019
Total,10911496,2018
Total,10604305,2017
Total,10570229,2016
Total,10202523,2015
China,4472071,2019
China,4349269,2018
China,4424612,2017
China,5126537,2016
China,5697699,2015
Japan,2167952,2019
Japan,1969151,2018
Japan,1898854,2017
Japan,1895702,2016
Japan,1627229,2015
South Korea,1242598,2019
South Korea,1019441,2018
South Korea,1054708,2017
South Korea,884397,2016
South Korea,658757,2015
United States of America,605054,2019
United States of America,580072,2018
United States of America,561365,2017
United States of America,523888,2016
United States of America,479452,2015
Malaysia,537692,2019
Malaysia,526129,2018
Malaysia,528019,2017
Malaysia,474420,2016
Malaysia,431481,2015
